id	author_id	base_language	text	posted_time_in_years
9	360	hin	"wonderful advt.by fevicol. ""kursi jiski  ki bhi ho pakki bane.panch saal tak chale"". india deserves a stable &amp; decisive government !//"	2014
5386	1119	hin	mla  accuses  of  government machinery.  sab mile hue hai ji !!	2016
6612	1119	hin	once again its proven : thats its nt abt  but its abt dal-hit  .  shame on politicians	2016
2	633	hin	lowest presentation of politics in india by  koi kehta hai neechi rajneeti, wah kehta hai han main neechi jati se hun	2014
23	633	hin	people even well versed with bihar's politics needs to find out who is j r manjhi. but a masterstroke by  to appoint a dalit!!	2014
75	522	hin	congress mukt bharat shuru  ne kiya khatam sonia karegi: cong appoints kharge as leader in lok sabha	2014
6668	522	hin	"i am eagrly waiting a bollywood song "" go go ... pokemon go go go.."" ala ""kabuter ja ja ja kabuter... """	2016
15	853	hin	first notable persian poet in india was mas' ud sa' d salman, belonging to the ghaznavid court at lahore.	2014
27	4098	hin	"delhi peoples shud do dharna in front of kejriwal's house to forgive delhi and india. ""maangain"" either leave politics or leave india."	2014
30	4098	hin	laut ke buddhu ghar ko aaye  : lalu prasad's rjd announces unconditional support to jd(u) government in bihar;	2014
186	4098	hin	"is this the future of bihar politics. lalu's son tejaswi yadav ""bagal main shabab aur peeche sharab"""	2014
1	4071	hin	neech karm hote hain, neech soch hoti hai, neech jaati nahin-   ji slams modi's opportunistic politics.	2014
404	4071	hin	pakistan has violated ceasefire  times since modi formed govt.sar nahin jhukne denge yaad hai?	2014
12032	21	hin	watched crazy rich asians. neither crazy nor very rich mildly asian. and they pulled a srk in ddlj with the ‘babuji se pooch ke shaadi karenge’. waste of time.	2018
3	2320	hin	bahut bahiyaat hai up government  log yaad jarur rakhenge mulayam akhilesh sarkaar ki iss gundagardi ko	2014
34	2320	hin	modi ji ko modi jee ka naara yaad dola dijiye minimum government walaa	2014
59	2320	hin	tax ki rajneeti central aur state government mil kar theek kare toh bahut problem solve ho sakti hein &gt; par sabhi chor	2014
236	2325	hin	सुषमा सरकार  मुस्लिम समुदाय को हज पर देगी खास तोहफा। mon,  jun  ::	2014
